Imports Successful!
Net Init Complete.
RecordIter Setup Done.
<class 'mxnet.io.io.MXDataIter'>
<class 'mxnet.io.io.MXDataIter'>
Creating Data Loaders
<class '__main__.DataIterLoader'>
<class '__main__.DataIterLoader'>
Training Loop Started:
Epoch[0] Batch [49]:	Speed: 234.660207 samples/sec	top1-err=0.998437	top5-err=0.992500	train_loss=23616.823334
Epoch[0] Batch [2649]:	Speed: 291.383858 samples/sec	top1-err=0.992671	top5-err=0.970183	train_loss=1116910.799927
Epoch[0] Batch [2699]:	Speed: 317.253880 samples/sec	top1-err=0.992471	top5-err=0.969682	train_loss=1136658.226898
Epoch[0] Batch [2749]:	Speed: 317.448389 samples/sec	top1-err=0.992330	top5-err=0.969182	train_loss=1156352.594269
Epoch[0] Batch [2799]:	Speed: 316.595173 samples/sec	top1-err=0.992126	top5-err=0.968538	train_loss=1176049.642395
Epoch[0] Batch [2849]:	Speed: 291.868523 samples/sec	top1-err=0.991941	top5-err=0.967840	train_loss=1195553.480560
Epoch[0] Batch [2899]:	Speed: 317.833975 samples/sec	top1-err=0.991756	top5-err=0.967166	train_loss=1215034.920013
Epoch[0] Batch [2949]:	Speed: 317.801524 samples/sec	top1-err=0.991589	top5-err=0.966536	train_loss=1234443.742157
Epoch[0] Batch [2999]:	Speed: 318.079022 samples/sec	top1-err=0.991375	top5-err=0.965646	train_loss=1253681.380920
Epoch[0] Batch [3049]:	Speed: 317.567236 samples/sec	top1-err=0.991148	top5-err=0.965026	train_loss=1273014.813141
Epoch[0] Batch [3099]:	Speed: 317.746429 samples/sec	top1-err=0.990932	top5-err=0.964350	train_loss=1292250.032990
Epoch[0] Batch [3149]:	Speed: 317.770254 samples/sec	top1-err=0.990699	top5-err=0.963785	train_loss=1311456.780670
Epoch[0] Batch [3199]:	Speed: 317.344734 samples/sec	top1-err=0.990576	top5-err=0.963105	train_loss=1330585.156952
Epoch[0] Batch [3249]:	Speed: 317.143323 samples/sec	top1-err=0.990413	top5-err=0.962341	train_loss=1349553.832886
Epoch[0] Batch [3299]:	Speed: 316.907497 samples/sec	top1-err=0.990166	top5-err=0.961738	train_loss=1368712.843719
Epoch[0] Batch [3349]:	Speed: 317.512717 samples/sec	top1-err=0.989897	top5-err=0.961026	train_loss=1387770.093048
Epoch[0] Batch [3399]:	Speed: 317.174103 samples/sec	top1-err=0.989747	top5-err=0.960391	train_loss=1406782.183563
Epoch[0] Batch [3449]:	Speed: 317.648060 samples/sec	top1-err=0.989484	top5-err=0.959665	train_loss=1425767.143768
Epoch[0] Batch [3499]:	Speed: 317.439364 samples/sec	top1-err=0.989259	top5-err=0.958987	train_loss=1444654.085327
Epoch[0] Batch [3549]:	Speed: 317.219224 samples/sec	top1-err=0.989005	top5-err=0.958275	train_loss=1463471.733337
Epoch[0] Batch [3599]:	Speed: 317.460170 samples/sec	top1-err=0.988850	top5-err=0.957600	train_loss=1482418.048798
Epoch[0] Batch [3649]:	Speed: 317.038969 samples/sec	top1-err=0.988703	top5-err=0.956978	train_loss=1501255.561157
Epoch[0] Batch [3699]:	Speed: 317.006928 samples/sec	top1-err=0.988450	top5-err=0.956212	train_loss=1519974.140442
Epoch[0] Batch [3749]:	Speed: 318.300230 samples/sec	top1-err=0.988237	top5-err=0.955496	train_loss=1538744.572998
Epoch[0] Batch [3799]:	Speed: 318.173193 samples/sec	top1-err=0.988002	top5-err=0.954708	train_loss=1557499.824524
Epoch[0] Batch [3849]:	Speed: 317.892346 samples/sec	top1-err=0.987825	top5-err=0.953953	train_loss=1576019.323242
Epoch[0] Batch [3899]:	Speed: 317.652653 samples/sec	top1-err=0.987612	top5-err=0.953249	train_loss=1594653.097931
Epoch[0] Batch [3949]:	Speed: 292.545206 samples/sec	top1-err=0.987425	top5-err=0.952611	train_loss=1613197.698669
Epoch[0] Batch [3999]:	Speed: 317.668637 samples/sec	top1-err=0.987184	top5-err=0.951937	train_loss=1631850.405975
Epoch[0] Batch [4049]:	Speed: 317.537919 samples/sec	top1-err=0.986925	top5-err=0.951142	train_loss=1650282.697327
Epoch[0] Batch [4099]:	Speed: 317.518959 samples/sec	top1-err=0.986730	top5-err=0.950415	train_loss=1668844.044037
Epoch[0] Batch [4149]:	Speed: 317.542570 samples/sec	top1-err=0.986540	top5-err=0.949699	train_loss=1687232.646423
Epoch[0] Batch [4199]:	Speed: 317.616339 samples/sec	top1-err=0.986317	top5-err=0.948955	train_loss=1705725.710266
Epoch[0] Batch [4249]:	Speed: 317.045357 samples/sec	top1-err=0.986081	top5-err=0.948261	train_loss=1724172.181549
Epoch[0] Batch [4299]:	Speed: 317.250738 samples/sec	top1-err=0.985756	top5-err=0.947445	train_loss=1742602.220154
Epoch[0] Batch [4349]:	Speed: 317.379141 samples/sec	top1-err=0.985496	top5-err=0.946645	train_loss=1760889.291077
Epoch[0] Batch [4399]:	Speed: 317.458660 samples/sec	top1-err=0.985305	top5-err=0.945980	train_loss=1779248.105652
Epoch[0] Batch [4449]:	Speed: 317.469714 samples/sec	top1-err=0.985007	top5-err=0.945109	train_loss=1797392.335175
Epoch[0] Batch [4499]:	Speed: 317.690856 samples/sec	top1-err=0.984771	top5-err=0.944361	train_loss=1815612.786621
Epoch[0] Batch [4549]:	Speed: 317.497703 samples/sec	top1-err=0.984526	top5-err=0.943647	train_loss=1833807.258759
Epoch[0] Batch [4599]:	Speed: 317.129228 samples/sec	top1-err=0.984307	top5-err=0.942918	train_loss=1851933.995148
Epoch[0] Batch [4649]:	Speed: 315.096762 samples/sec	top1-err=0.984039	top5-err=0.942164	train_loss=1870219.458832
Epoch[0] Batch [4699]:	Speed: 317.324634 samples/sec	top1-err=0.983816	top5-err=0.941523	train_loss=1888377.739380
Epoch[0] Batch [4749]:	Speed: 317.528281 samples/sec	top1-err=0.983592	top5-err=0.940763	train_loss=1906560.981781
Epoch[0] Batch [4799]:	Speed: 317.883447 samples/sec	top1-err=0.983320	top5-err=0.940049	train_loss=1924643.649353
Epoch[0] Batch [4849]:	Speed: 317.326135 samples/sec	top1-err=0.983064	top5-err=0.939356	train_loss=1942736.152649
Epoch[0] Batch [4899]:	Speed: 317.765040 samples/sec	top1-err=0.982777	top5-err=0.938520	train_loss=1960690.999481
Epoch[0] Batch [4949]:	Speed: 317.255410 samples/sec	top1-err=0.982519	top5-err=0.937765	train_loss=1978590.272552
Epoch[0] Batch [4999]:	Speed: 318.044750 samples/sec	top1-err=0.982287	top5-err=0.937097	train_loss=1996671.426544
Epoch[0] Batch [5049]:	Speed: 317.526388 samples/sec	top1-err=0.982011	top5-err=0.936330	train_loss=2014553.033844
Epoch[0] Batch [5099]:	Speed: 317.863979 samples/sec	top1-err=0.981777	top5-err=0.935604	train_loss=2032463.996765
Epoch[0] Batch [5149]:	Speed: 318.083131 samples/sec	top1-err=0.981523	top5-err=0.934842	train_loss=2050288.915375
Epoch[0] Batch [5199]:	Speed: 318.151759 samples/sec	top1-err=0.981319	top5-err=0.934147	train_loss=2068141.567963
Epoch[0] Batch [5249]:	Speed: 318.403928 samples/sec	top1-err=0.981095	top5-err=0.933452	train_loss=2085932.965546
Epoch[0] Batch [5299]:	Speed: 317.990934 samples/sec	top1-err=0.980870	top5-err=0.932765	train_loss=2103823.855499
Epoch[0] Batch [5349]:	Speed: 317.090936 samples/sec	top1-err=0.980572	top5-err=0.932033	train_loss=2121678.349701
Epoch[0] Batch [5399]:	Speed: 317.629462 samples/sec	top1-err=0.980307	top5-err=0.931299	train_loss=2139446.443848
Epoch[0] Batch [5449]:	Speed: 316.694378 samples/sec	top1-err=0.979997	top5-err=0.930525	train_loss=2157087.274323
Epoch[0] Batch [5499]:	Speed: 317.136909 samples/sec	top1-err=0.979710	top5-err=0.929835	train_loss=2174839.029297
Epoch[0] Batch [5549]:	Speed: 317.435993 samples/sec	top1-err=0.979437	top5-err=0.929203	train_loss=2192633.604736
Epoch[0] Batch [5599]:	Speed: 317.279829 samples/sec	top1-err=0.979191	top5-err=0.928521	train_loss=2210317.481201
Epoch[0] Batch [5649]:	Speed: 317.399053 samples/sec	top1-err=0.978921	top5-err=0.927771	train_loss=2227902.699524
Epoch[0] Batch [5699]:	Speed: 317.582753 samples/sec	top1-err=0.978638	top5-err=0.927053	train_loss=2245366.348267
Epoch[0] Batch [5749]:	Speed: 317.863135 samples/sec	top1-err=0.978386	top5-err=0.926353	train_loss=2262848.078125
Epoch[0] Batch [5799]:	Speed: 317.582347 samples/sec	top1-err=0.978133	top5-err=0.925625	train_loss=2280359.831635
Epoch[0] Batch [5849]:	Speed: 317.570549 samples/sec	top1-err=0.977879	top5-err=0.924920	train_loss=2297932.081573
Epoch[0] Batch [5899]:	Speed: 317.659893 samples/sec	top1-err=0.977601	top5-err=0.924163	train_loss=2315308.290771
Epoch[0] Batch [5949]:	Speed: 317.664855 samples/sec	top1-err=0.977361	top5-err=0.923571	train_loss=2332866.195923
Epoch[0] Batch [5999]:	Speed: 317.097348 samples/sec	top1-err=0.977107	top5-err=0.922901	train_loss=2350330.176056
Epoch[0] Batch [6049]:	Speed: 317.410852 samples/sec	top1-err=0.976857	top5-err=0.922187	train_loss=2367803.992920
Epoch[0] Batch [6099]:	Speed: 317.773361 samples/sec	top1-err=0.976557	top5-err=0.921498	train_loss=2385249.312439
Epoch[0] Batch [6149]:	Speed: 317.632266 samples/sec	top1-err=0.976395	top5-err=0.920859	train_loss=2402669.665985
Epoch[0] Batch [6199]:	Speed: 317.579183 samples/sec	top1-err=0.976215	top5-err=0.920199	train_loss=2420070.696777
Epoch[0] Batch [6249]:	Speed: 317.732152 samples/sec	top1-err=0.976010	top5-err=0.919573	train_loss=2437490.623840
Epoch[0] Batch [6299]:	Speed: 317.662645 samples/sec	top1-err=0.975823	top5-err=0.918941	train_loss=2454881.696960
Epoch[0] Batch [6349]:	Speed: 317.909883 samples/sec	top1-err=0.975632	top5-err=0.918278	train_loss=2472354.003387
Epoch[0] Batch [6399]:	Speed: 317.884779 samples/sec	top1-err=0.975325	top5-err=0.917585	train_loss=2489620.393951
Epoch[0] Batch [6449]:	Speed: 317.822558 samples/sec	top1-err=0.975087	top5-err=0.916890	train_loss=2506903.544495
Epoch[0] Batch [6499]:	Speed: 318.039483 samples/sec	top1-err=0.974858	top5-err=0.916240	train_loss=2524160.663269
Epoch[0] Batch [6549]:	Speed: 317.812617 samples/sec	top1-err=0.974594	top5-err=0.915487	train_loss=2541409.300873
Epoch[0] Batch [6599]:	Speed: 317.890020 samples/sec	top1-err=0.974295	top5-err=0.914690	train_loss=2558441.917572
Epoch[0] Batch [6649]:	Speed: 317.925448 samples/sec	top1-err=0.974013	top5-err=0.914060	train_loss=2575698.918213
Epoch[0] Batch [6699]:	Speed: 318.583349 samples/sec	top1-err=0.973790	top5-err=0.913417	train_loss=2592810.688019
Epoch[0] Batch [6749]:	Speed: 318.071831 samples/sec	top1-err=0.973553	top5-err=0.912769	train_loss=2609893.051086
Epoch[0] Batch [6799]:	Speed: 318.128495 samples/sec	top1-err=0.973320	top5-err=0.911997	train_loss=2627012.342133
Epoch[0] Batch [6849]:	Speed: 315.915205 samples/sec	top1-err=0.973057	top5-err=0.911271	train_loss=2643971.097900
Epoch[0] Batch [6899]:	Speed: 317.955438 samples/sec	top1-err=0.972808	top5-err=0.910677	train_loss=2661148.435242
Epoch[0] Batch [6949]:	Speed: 317.803955 samples/sec	top1-err=0.972529	top5-err=0.910058	train_loss=2678212.832916
Epoch[0] Batch [6999]:	Speed: 317.605396 samples/sec	top1-err=0.972232	top5-err=0.909406	train_loss=2695292.608490
Epoch[0] Batch [7049]:	Speed: 317.959867 samples/sec	top1-err=0.971888	top5-err=0.908670	train_loss=2712172.841980
Epoch[0] Batch [7099]:	Speed: 317.794639 samples/sec	top1-err=0.971651	top5-err=0.908059	train_loss=2729102.451202
Epoch[0] Batch [7149]:	Speed: 318.007434 samples/sec	top1-err=0.971377	top5-err=0.907441	train_loss=2746096.336090
Epoch[0] Batch [7199]:	Speed: 318.282922 samples/sec	top1-err=0.971061	top5-err=0.906812	train_loss=2762853.216675
Epoch[0] Batch [7249]:	Speed: 318.072947 samples/sec	top1-err=0.970793	top5-err=0.906166	train_loss=2779801.777496
Epoch[0] Batch [7299]:	Speed: 318.134573 samples/sec	top1-err=0.970516	top5-err=0.905512	train_loss=2796670.751465
Epoch[0] Batch [7349]:	Speed: 318.159165 samples/sec	top1-err=0.970251	top5-err=0.904889	train_loss=2813629.839447
Epoch[0] Batch [7399]:	Speed: 318.289481 samples/sec	top1-err=0.969998	top5-err=0.904187	train_loss=2830315.946899
Epoch[0] Batch [7449]:	Speed: 318.254666 samples/sec	top1-err=0.969767	top5-err=0.903555	train_loss=2847129.728760
Epoch[0] Batch [7499]:	Speed: 318.212540 samples/sec	top1-err=0.969508	top5-err=0.902940	train_loss=2863958.557037
Epoch[0] Batch [7549]:	Speed: 318.131458 samples/sec	top1-err=0.969263	top5-err=0.902316	train_loss=2880788.152863
Epoch[0] Batch [7599]:	Speed: 318.363484 samples/sec	top1-err=0.969025	top5-err=0.901704	train_loss=2897614.414368
Epoch[0] Batch [7649]:	Speed: 317.680036 samples/sec	top1-err=0.968789	top5-err=0.901176	train_loss=2914667.886780
Epoch[0] Batch [7699]:	Speed: 318.201133 samples/sec	top1-err=0.968553	top5-err=0.900578	train_loss=2931529.799347
Epoch[0] Batch [7749]:	Speed: 318.068914 samples/sec	top1-err=0.968323	top5-err=0.899954	train_loss=2948266.738831
Epoch[0] Batch [7799]:	Speed: 317.997805 samples/sec	top1-err=0.968049	top5-err=0.899307	train_loss=2965063.066040
Epoch[0] Batch [7849]:	Speed: 317.985819 samples/sec	top1-err=0.967852	top5-err=0.898712	train_loss=2981872.477325
Epoch[0] Batch [7899]:	Speed: 318.156103 samples/sec	top1-err=0.967607	top5-err=0.898113	train_loss=2998584.208771
Epoch[0] Batch [7949]:	Speed: 317.547746 samples/sec	top1-err=0.967311	top5-err=0.897471	train_loss=3015279.000397
Epoch[0] Batch [7999]:	Speed: 318.355495 samples/sec	top1-err=0.967016	top5-err=0.896852	train_loss=3031916.490936
Epoch[0] Batch [8049]:	Speed: 318.028902 samples/sec	top1-err=0.966757	top5-err=0.896215	train_loss=3048539.769531
Epoch[0] Batch [8099]:	Speed: 318.259201 samples/sec	top1-err=0.966472	top5-err=0.895527	train_loss=3065053.367828
Epoch[0] Batch [8149]:	Speed: 317.682480 samples/sec	top1-err=0.966225	top5-err=0.894833	train_loss=3081425.556244
Epoch[0] Batch [8199]:	Speed: 317.493339 samples/sec	top1-err=0.965938	top5-err=0.894226	train_loss=3097957.444000
Epoch[0] Batch [8249]:	Speed: 317.692029 samples/sec	top1-err=0.965688	top5-err=0.893646	train_loss=3114608.019379
Epoch[0] Batch [8299]:	Speed: 317.134129 samples/sec	top1-err=0.965392	top5-err=0.892918	train_loss=3130878.912842
Epoch[0] Batch [8349]:	Speed: 318.243898 samples/sec	top1-err=0.965176	top5-err=0.892350	train_loss=3147592.692810
Epoch[0] Batch [8399]:	Speed: 318.236110 samples/sec	top1-err=0.964901	top5-err=0.891750	train_loss=3164021.252533
Epoch[0] Batch [8449]:	Speed: 317.971521 samples/sec	top1-err=0.964656	top5-err=0.891119	train_loss=3180466.332672
Epoch[0] Batch [8499]:	Speed: 317.737568 samples/sec	top1-err=0.964406	top5-err=0.890452	train_loss=3196752.130310
Epoch[0] Batch [8549]:	Speed: 318.376647 samples/sec	top1-err=0.964114	top5-err=0.889744	train_loss=3212958.806091
Epoch[0] Batch [8599]:	Speed: 317.755907 samples/sec	top1-err=0.963835	top5-err=0.889113	train_loss=3229341.020538
Epoch[0] Batch [8649]:	Speed: 317.468647 samples/sec	top1-err=0.963580	top5-err=0.888497	train_loss=3245745.319214
Epoch[0] Batch [8699]:	Speed: 317.991989 samples/sec	top1-err=0.963339	top5-err=0.887892	train_loss=3262054.264069
Epoch[0] Batch [8749]:	Speed: 317.818298 samples/sec	top1-err=0.963052	top5-err=0.887295	train_loss=3278475.661865
Epoch[0] Batch [8799]:	Speed: 318.023876 samples/sec	top1-err=0.962765	top5-err=0.886658	train_loss=3294722.515625
Epoch[0] Batch [8849]:	Speed: 318.605129 samples/sec	top1-err=0.962481	top5-err=0.885952	train_loss=3310881.345093
Epoch[0] Batch [8899]:	Speed: 318.057977 samples/sec	top1-err=0.962180	top5-err=0.885291	train_loss=3326972.174500
Epoch[0] Batch [8949]:	Speed: 318.402999 samples/sec	top1-err=0.961936	top5-err=0.884682	train_loss=3343211.336884
Epoch[0] Batch [8999]:	Speed: 318.536547 samples/sec	top1-err=0.961672	top5-err=0.884036	train_loss=3359477.588379
Epoch[0] Batch [9049]:	Speed: 316.404408 samples/sec	top1-err=0.961433	top5-err=0.883353	train_loss=3375532.172302
Epoch[0] Batch [9099]:	Speed: 317.769110 samples/sec	top1-err=0.961144	top5-err=0.882685	train_loss=3391745.686188
Epoch[0] Batch [9149]:	Speed: 318.447767 samples/sec	top1-err=0.960908	top5-err=0.882099	train_loss=3407877.007965
Epoch[0] Batch [9199]:	Speed: 318.043092 samples/sec	top1-err=0.960642	top5-err=0.881462	train_loss=3423993.627136
Epoch[0] Batch [9249]:	Speed: 318.118135 samples/sec	top1-err=0.960395	top5-err=0.880887	train_loss=3440158.590973
Epoch[0] Batch [9299]:	Speed: 318.600508 samples/sec	top1-err=0.960094	top5-err=0.880173	train_loss=3456112.583557
Epoch[0] Batch [9349]:	Speed: 318.274529 samples/sec	top1-err=0.959848	top5-err=0.879547	train_loss=3472144.097321
Epoch[0] Batch [9399]:	Speed: 317.717268 samples/sec	top1-err=0.959551	top5-err=0.878953	train_loss=3488041.546326
Epoch[0] Batch [9449]:	Speed: 318.137016 samples/sec	top1-err=0.959335	top5-err=0.878403	train_loss=3504240.609161
Epoch[0] Batch [9499]:	Speed: 317.651676 samples/sec	top1-err=0.959054	top5-err=0.877743	train_loss=3519950.031250
Epoch[0] Batch [9549]:	Speed: 317.615264 samples/sec	top1-err=0.958809	top5-err=0.877181	train_loss=3536023.539276
Epoch[0] Batch [9599]:	Speed: 318.315471 samples/sec	top1-err=0.958550	top5-err=0.876556	train_loss=3551940.594757
Epoch[0] Batch [9649]:	Speed: 318.291602 samples/sec	top1-err=0.958311	top5-err=0.876030	train_loss=3568134.576538
Epoch[0] Batch [9699]:	Speed: 318.368076 samples/sec	top1-err=0.958069	top5-err=0.875467	train_loss=3584083.724670
Epoch[0] Batch [9749]:	Speed: 318.527982 samples/sec	top1-err=0.957793	top5-err=0.874859	train_loss=3600128.658203
Epoch[0] Batch [9799]:	Speed: 317.964621 samples/sec	top1-err=0.957562	top5-err=0.874228	train_loss=3615972.579163
Epoch[0] Batch [9849]:	Speed: 318.032233 samples/sec	top1-err=0.957238	top5-err=0.873626	train_loss=3631753.276520
Epoch[0] Batch [9899]:	Speed: 318.252643 samples/sec	top1-err=0.956959	top5-err=0.872986	train_loss=3647594.557068
Epoch[0] Batch [9949]:	Speed: 317.843436 samples/sec	top1-err=0.956669	top5-err=0.872365	train_loss=3663482.504761
Epoch[0] Batch [9999]:	Speed: 318.214501 samples/sec	top1-err=0.956455	top5-err=0.871827	train_loss=3679472.370911
Epoch[0] Batch [10049]:	Speed: 317.925260 samples/sec	top1-err=0.956180	top5-err=0.871234	train_loss=3695346.279602
Epoch[0] Batch [10099]:	Speed: 317.684562 samples/sec	top1-err=0.955908	top5-err=0.870670	train_loss=3711138.748718
Epoch[0] Batch [10149]:	Speed: 317.838536 samples/sec	top1-err=0.955605	top5-err=0.870017	train_loss=3726833.775055
Epoch[0] Batch [10199]:	Speed: 317.847222 samples/sec	top1-err=0.955412	top5-err=0.869456	train_loss=3742721.553558
Epoch[0] Batch [10249]:	Speed: 317.682066 samples/sec	top1-err=0.955162	top5-err=0.868892	train_loss=3758514.285156
Epoch[0] Batch [10299]:	Speed: 318.106305 samples/sec	top1-err=0.954839	top5-err=0.868215	train_loss=3774067.131897
Epoch[0] Batch [10349]:	Speed: 317.576448 samples/sec	top1-err=0.954564	top5-err=0.867595	train_loss=3789729.917969
Epoch[0] Batch [10399]:	Speed: 317.258755 samples/sec	top1-err=0.954295	top5-err=0.867039	train_loss=3805478.621094
Epoch[0] Batch [10449]:	Speed: 317.983303 samples/sec	top1-err=0.954006	top5-err=0.866452	train_loss=3821174.355530
Epoch[0] Batch [10499]:	Speed: 318.597135 samples/sec	top1-err=0.953740	top5-err=0.865890	train_loss=3837035.891968
Epoch[0] Batch [10549]:	Speed: 318.635800 samples/sec	top1-err=0.953515	top5-err=0.865344	train_loss=3852844.114380
Epoch[0] Batch [10599]:	Speed: 318.802305 samples/sec	top1-err=0.953243	top5-err=0.864718	train_loss=3868495.850342
Epoch[0] Batch [10649]:	Speed: 318.711606 samples/sec	top1-err=0.952997	top5-err=0.864137	train_loss=3884109.098114
Epoch[0] Batch [10699]:	Speed: 296.821427 samples/sec	top1-err=0.952732	top5-err=0.863547	train_loss=3899717.465088
